abbreviation,expansion,category,notes
มค.,มกราคม,month,January
กพ.,กุมภาพันธ์,month,February
มีค.,มีนาคม,month,March
เมย.,เมษายน,month,April
พค.,พฤษภาคม,month,May
มิย.,มิถุนายน,month,June
กค.,กรกฎาคม,month,July
สค.,สิงหาคม,month,August
กย.,กันยายน,month,September
ตค.,ตุลาคม,month,October
พย.,พฤศจิกายน,month,November
ธค.,ธันวาคม,month,December
จ.,วันจันทร์,day,Monday
อ.,วันอังคาร,day,Tuesday
พ.,วันพุธ,day,Wednesday
พฤ.,วันพฤหัสบดี,day,Thursday
ศ.,วันศุกร์,day,Friday
ส.,วันเสาร์,day,Saturday
อา.,วันอาทิตย์,day,Sunday
กทม.,กรุงเทพมหานคร,location,Bangkok
รร.,โรงเรียน,place,School
รพ.,โรงพยาบาล,place,Hospital
มธ.,มหาวิทยาลัยธรรมศาสตร์,university,Thammasat University
จุฬา,จุฬาลงกรณ์มหาวิทยาลัย,university,Chulalongkorn University
มศว,มหาวิทยาลัยศรีนครินทรวิโรฒ,university,Srinakharinwirot University
บ.,บริษัท,business,Company
หจก.,ห้างหุ้นส่วนจำกัด,business,Limited Partnership
คุณ,คุณ,title,Mr/Ms (polite form)
นาย,นาย,title,Mr
นาง,นาง,title,Mrs
น.ส.,นางสาว,title,Miss
ดร.,ดอกเตอร์,title,Doctor
ศ.,ศาสตราจารย์,title,Professor
รศ.,รองศาสตราจารย์,title,Associate Professor
ผศ.,ผู้ช่วยศาสตราจารย์,title,Assistant Professor
บาท,บาท,currency,Thai Baht
สต.,สตางค์,currency,Satang
กก.,กิโลกรัม,unit,Kilogram
ก.,กรัม,unit,Gram
ม.,เมตร,unit,Meter
ซม.,เซนติเมตร,unit,Centimeter
มม.,มิลลิเมตร,unit,Millimeter
กม.,กิโลเมตร,unit,Kilometer
น.,นาที,time,Minute
ชม.,ชั่วโมง,time,Hour
วท.,วินาที,time,Second
พศ.,พุทธศักราช,era,Buddhist Era
คศ.,คริสต์ศักราช,era,Christian Era
ฯลฯ,และอื่นๆ,etc,etc
