model_id,provider,model_name,input_per_1m,output_per_1m,context_window,speed,recommended_use,notes
anthropic/claude-3.5-sonnet,anthropic,Claude 3.5 Sonnet,3.00,15.00,200000,medium,main_chat,Best quality for complex tasks
anthropic/claude-3.5-haiku,anthropic,Claude 3.5 Haiku,0.80,4.00,200000,fast,decision_model,Fast and cheap for intent analysis
anthropic/claude-3-opus,anthropic,Claude 3 Opus,15.00,75.00,200000,slow,complex_reasoning,Most capable but expensive
openai/gpt-4o,openai,GPT-4o,2.50,10.00,128000,medium,main_chat,Good alternative to Claude
openai/gpt-4o-mini,openai,GPT-4o-mini,0.15,0.60,128000,fast,decision_model,Very cheap for simple tasks
openai/gpt-4-turbo,openai,GPT-4 Turbo,10.00,30.00,128000,medium,complex_tasks,Older but still capable
google/gemini-2.0-flash,google,Gemini 2.0 Flash,0.10,0.40,1000000,very_fast,high_volume,Cheapest for high volume
google/gemini-1.5-pro,google,Gemini 1.5 Pro,1.25,5.00,1000000,medium,main_chat,Large context window
meta/llama-3.1-70b,meta,Llama 3.1 70B,0.52,0.75,128000,fast,main_chat,Good open-source option
mistral/mistral-large,mistral,Mistral Large,2.00,6.00,128000,medium,main_chat,European alternative
openai/text-embedding-3-small,openai,Embedding Small,0.02,0,N/A,fast,embeddings,Default for semantic search
openai/text-embedding-3-large,openai,Embedding Large,0.13,0,N/A,medium,embeddings,Higher quality embeddings
