keyword,type,complexity_score,example_query,notes
เปรียบเทียบ,comparison,2,เปรียบเทียบราคาสินค้า A กับ B,Triggers comparison mode
วิเคราะห์,analysis,2,วิเคราะห์ยอดขายเดือนนี้,Requires analytical thinking
ทำไม,reasoning,2,ทำไมสินค้าถึงหมด,Why questions need explanation
อธิบาย,explanation,2,อธิบายวิธีใช้งาน,Explanation requests
ข้อดี,pros,2,ข้อดีของสินค้านี้,Pros/cons analysis
ข้อเสีย,cons,2,ข้อเสียของบริการนี้,Pros/cons analysis
ข้อดีข้อเสีย,pros_cons,2,ข้อดีข้อเสียของแผน A,Full pros/cons
ทีละขั้นตอน,step_by_step,2,อธิบายทีละขั้นตอน,Step by step instructions
คำนวณ,calculation,1,คำนวณค่าส่ง,Math calculations
ถ้า,conditional,1,ถ้าสั่งมากกว่า 10 ชิ้น,Conditional scenarios
สมมติ,hypothetical,1,สมมติว่าต้องการ...,Hypothetical scenarios
ความแตกต่าง,difference,2,ความแตกต่างระหว่าง A และ B,Comparison/contrast
แนะนำ,recommendation,1,แนะนำสินค้าที่เหมาะสม,Recommendation requests
เหตุผล,reason,2,เหตุผลที่ควรเลือก,Reasoning explanation
หลายขั้นตอน,multi_step,2,มีหลายขั้นตอน,Multi-step process
ละเอียด,detailed,1,อธิบายให้ละเอียด,Detailed explanation
สรุป,summary,1,สรุปให้หน่อย,Summary request
เทียบ,compare,2,เทียบราคา,Short form of compare
ต่างกัน,different,1,ต่างกันยังไง,Difference question
เหมือนกัน,similar,1,เหมือนกันยังไง,Similarity question
