operation,risk_level,check_before,safe_alternative,notes
dropColumn,high,Check if column has data,Add deprecation period then drop,Data loss if not backed up
dropTable,high,Check if table has data,Use soft deletes instead,Data loss if not backed up
renameColumn,medium,Check all code references,Deploy code changes first,Apps may break
renameTable,medium,Check all code references,Deploy code changes first,Apps may break
changeColumnType,high,Check data range and format,Create new column and migrate data,Data may truncate or error
addColumn_not_nullable,medium,Cannot have existing rows without default,Add with default or nullable,Migration will fail on existing rows
addForeignKey,medium,Check for orphan records,Clean orphans first,Will fail if orphan records exist
addUniqueConstraint,medium,Check for duplicate values,Clean duplicates first,Will fail if duplicates exist
addIndex,low,N/A,Use CONCURRENTLY in PostgreSQL,May lock table briefly
dropIndex,low,Check if queries depend on it,N/A,May slow down queries
addColumn_nullable,low,N/A,N/A,Safe - no data impact
addColumn_with_default,low,N/A,N/A,Safe - Laravel handles default
dropForeignKey,low,N/A,N/A,Safe - no data loss
modifyNullable,low,Check NOT NULL constraint,N/A,From NOT NULL to NULL is safe
truncateTable,high,Backup data first,Use delete with backup,All data lost
alterColumnLength_increase,low,N/A,N/A,Safe - no data loss
alterColumnLength_decrease,high,Check max data length,N/A,Data may truncate
