http_code,error_code,message,description,solution
400,invalid_json,Invalid JSON format,Request body ไม่ใช่ JSON ที่ถูกต้อง,ตรวจสอบ JSON syntax
400,invalid_request_body,Invalid request body,Request body format ผิด,ตรวจสอบ required fields
400,invalid_reply_token,Invalid reply token,replyToken หมดอายุหรือใช้แล้ว,ใช้ replyToken ภายใน ~30 วินาที
400,invalid_user_id,Invalid user ID,userId format ผิด,ตรวจสอบ userId ว่าถูกต้อง
400,too_many_messages,Too many messages in request,ส่งข้อความเกิน 5 ต่อ request,แยก request เป็นหลาย batch
401,unauthorized,Unauthorized,Channel Access Token ไม่ถูกต้องหรือหมดอายุ,สร้าง token ใหม่ใน LINE Console
403,forbidden,Forbidden,ไม่มี permission เข้าถึง resource,ตรวจสอบ permissions และ plan
403,not_authorized,Not authorized,Bot ไม่ได้ถูก authorize,ให้ user add bot เป็นเพื่อน
404,user_not_found,User not found,หา user ไม่พบ,user อาจ block bot หรือ delete account
429,rate_limit_exceeded,Too many requests,เกิน rate limit,รอสักครู่แล้วลองใหม่ หรือ implement backoff
500,internal_error,Internal server error,LINE server error,รอแล้วลองใหม่
503,service_unavailable,Service unavailable,LINE service ไม่พร้อมใช้งาน,รอแล้วลองใหม่
400,message_too_long,Message text too long,ข้อความยาวเกิน 5000 characters,ลดความยาวข้อความ
400,invalid_url,Invalid URL,URL format ไม่ถูกต้อง,ใช้ HTTPS URL ที่ valid
400,flex_invalid,Invalid flex message,Flex message format ผิด,ใช้ Flex Message Simulator ตรวจสอบ
